Tweet ID,Tweet,Created Time,Language
1647980463141560321,"@jonkay Translation: ""It's important that straight white men are excluded from Canadian culture.""
#feminismiscancer",2023-04-17 15:08:55+00:00,en
1647968172899803137,"What men goes through each day 🙆‍♂️

#FeminismIsCancer #GenderBiasedLaws #MenToo https://t.co/wZusz8Suls",2023-04-17 14:20:04+00:00,en
1647960439329013760,"Single mothers and feminists did this.

#SingleMoms #feminismiscancer 

https://t.co/oQSGCBGIum",2023-04-17 13:49:21+00:00,en
1647959320271675393,"Blame the #feminists  and have the guts to gain their respect on basis of your skill and stop playing victim card all the time.
#feminismiscancer",2023-04-17 13:44:54+00:00,en
1647958180297601031,"What #Feminists abhor &amp; won't admit is the POWER #femininity has

The power of ALL women throughout ALL of time reflected in everything from great works of art &amp; literature, music &amp; comedy 

#FeminismIsCancer #RadFem #RadFems #feminist #Feminism #coercivecontrol https://t.co/ZYcBUiHNVi",2023-04-17 13:40:22+00:00,en
1647946119026991106,"@UN_Women @UN Here #UNWomen admit women always had opportunity - what #Feminism fake narratives do NOT disclose is in the past women had NO interest in many things from politics to sports which is NOT discrimination

This insight doesn't fit their #HateSpeech #Gaslighting

#FeminismIsCancer",2023-04-17 12:52:26+00:00,en
1647929738042966017,Why its menifesto not womenifesto #justasking #feminismiscancer,2023-04-17 11:47:21+00:00,en
1647907397573447680,@barkhatrehan16 @Theintrepid_ 👌🙏 These woke activist is funded to destroy Indian society. #FeminismIsCancer,2023-04-17 10:18:34+00:00,en
1647894740745207808,"@MunishKatyal1 @sorose4u @AFT_NGO @NCMIndiaa @Men_Helpline @men_are_human @Shivamsbisht @sheomangalkumar @AdvBinayKumar @ashrafnansari @Sarmad07185646 @MLJ_GoI @rashtrapatibhvn @godseye321 @PMOIndia @IHARIDWARTIWARI @GR_Barbarika @SIFFHARSH @MyNation_Pune @Amit_MyNation @Vinod65064504 @GSBorikar @santosh121281 @AnubhavMohanty_ @HMOIndia @NandiniBhatta14 @barkhatrehan16 @CriticsUnbiased @MdZarafat @MaheshVastavMRA @meshramnitin_ @SandmanMGTOW Now this is #Canada 

#Feminism has destroyed countless countries

It teaches women to loot men, r@pe boys and become criminals

#feminismiscancer 

@AFT_NGO @asadowaisi @ARanganathan72 @Iyervval @barkhatrehan16 @Meghna_venture @abhijitvhanman2 @NCMIndiaa @Manish_AFT https://t.co/eZkcNATvcO",2023-04-17 09:28:17+00:00,en
1647892673607368704,"Family is the basic unit of Society | #Feminism exposed 🙆‍♂️

#FeminismIsCancer https://t.co/2ZXurOuSFr",2023-04-17 09:20:04+00:00,en
1647859576585220096,"#FalseRape #ParentalAlienation TRUTH 

#FakeRape #MeToo #DomesticViolence #DomesticAbuse #VAWG #coercivecontrol #FamilyCourt #DARVO #RyanKerrison 

#FeminismIsCancer #RadFem #RadFems 

https://t.co/cSsdokrnM7",2023-04-17 07:08:33+00:00,en
1647832845086257152,"Do women play drama to get their point accepted.
#WomanAsBegger
#FeminismIsCancer https://t.co/zSaOTG276i",2023-04-17 05:22:20+00:00,en
1647811094134784000,"Yesterday's conversation wid a friend. His wife used 2 say this 2 him daily during fights.
Should have replied in kind!!!
He was a nice guy accepted it as routine. That encouraged ablaa 2 abuse him further.
#FightBack
#NoMarriageNoChild 
#MarriageStrike 
#FeminismIsCancer https://t.co/pWxDcVxqZ8",2023-04-17 03:55:54+00:00,en
1647738877036179456,This is how a piece of sh*t looks like. #feminismiscancer https://t.co/QVmqlRQCDY,2023-04-16 23:08:56+00:00,en
1647696560904450048,"@ShoneeKapoor All who are saying it could be a sarcastic, must check her profile description. If its sarcasm, her entire profile must be sarcastic. #FeminismIsCancer https://t.co/lnD7IN2Vrm",2023-04-16 20:20:47+00:00,en
1647674715421409281,Crazy feminist as a  biological woman she supposed to fight for Riley 's right but she 😞 She was accusing Riley for likes and clicks but yet the two biological MALEs are protecting women's rights! #feminismiscancer https://t.co/TWI3mzWtxT,2023-04-16 18:53:59+00:00,en
1647670862420803590,"W0men will rule the world like this !!!

#FeminismIsCancer https://t.co/KYiSt1JbdI",2023-04-16 18:38:40+00:00,en
1647666811608133632,"@Theintrepid_ ""You can say that I am not going to do that""... But they don't tell you that before marriage.. They will tell you that after marriage.. Why!? Because, honesty is not a big deal for feminazis in marriage ..!! .. #FeminismIsCancer ..",2023-04-16 18:22:34+00:00,en
1647664893259046912,"@FNF_Media @ManKindInit @KimFawcett11 is a #Gaslighting LIAR 

#KimFawcett #ParentalAlienation #FamilyCourt #MaternalFilicide 

#FeminismIsCancer #RadFem #RadFems https://t.co/7elGNWxjRG",2023-04-16 18:14:57+00:00,en
1647651970360942593,"@stuart268 @DrProudman @BarnettAdrienne @DrEmmaKatz @DrJessTaylor et al quacks will not only disagree but will use #Gaslighting to state #ParentalAlienation doesn't exist &amp; only claimed by fathers as #coercivecontrol #DomesticAbuse in #FamilyCourt 

#FeminismIsCancer #RadFem #RadFems https://t.co/RFD9ut7mDm",2023-04-16 17:23:36+00:00,en
1647646091397955588,"Feminism hurts women too.

Actually feminism is a misanthropic movement which won't stop until human civilisation destroys all of civilisation to be replaced with a dystopia of political correctness.

Unless women (yes women not men) put a stop to it and soon.

#FeminismIsCancer https://t.co/oNCf5FTkVD https://t.co/basJl7ZyB6",2023-04-16 17:00:14+00:00,en
1647641807000420353,"Real PowerPuff Girls
Vs.
#Feminist PowerPuff Girls

My Like Pic 1... The Real One.

Feminist are Ugly !!!

#FeminismIsCancer 
#Feminists https://t.co/Rx4m6RbDpF",2023-04-16 16:43:13+00:00,en
1647636461422870530,"@DrProudman is a #Gaslighting LIAR 

The horrifying issue is how #DrProudman without conscience lies about #DomesticViolence #Rape &amp; more with impunity

#DomesticAbuse #VAWG #coercivecontrol 
#FamilyCourt #ParentalAlienation 

#FeminismIsCancer #RadFem #RadFems https://t.co/Ke4xqCMvsP",2023-04-16 16:21:58+00:00,en
1647632394449477632,"@DrProudman #Gaslighting continues 

Yet again:

Half of victims are ignored (men) as are approx 2/3rds of perpetrators (women)

#DomesticViolence #DomesticAbuse #VAWG #coercivecontrol #ParentalAlienation #FamilyCourt #PAS 

#DrProudman #FeminismIsCancer #RadFem #RadFems https://t.co/NwgH01Ig4F",2023-04-16 16:05:49+00:00,en
1647630113867984896,"@BarnettAdrienne #Gaslighting continues 

Half of victims are ignored (men) as are approx 2/3rds of perpetrators (women)

#DomesticViolence #DomesticAbuse #VAWG #coercivecontrol #ParentalAlienation #FamilyCourt #PAS 

#AdrienneBarnett #FeminismIsCancer #RadFem #RadFems https://t.co/FxHR6hsB1t",2023-04-16 15:56:45+00:00,en
1647620403735715842,"More, not less, at this point in time, we women have more opportunities and laws than men ever had. Now do not bring up the gender pay gap, because it has been debunked multiple times. Come up with something else.

#feminist #Feminism #feminismiscancer #feminismisalie",2023-04-16 15:18:10+00:00,en
